symbol,trades,wins,losses,win_rate,total_pnl,avg_pnl,total_return,liquidations,final_capital
SHIBUSDT,8,6,2,75.0,2389.0221580805655,298.6277697600707,23.890221580805644,2,12389.022158080565
SOLUSDT,13,7,6,53.84615384615385,1471.7130131253457,113.20869331733428,14.717130131253453,6,11471.713013125345
TIAUSDT,9,5,4,55.55555555555556,1367.1500601376154,151.9055622375128,13.671500601376174,4,11367.150060137617
PEPEUSDT,5,3,2,60.0,1351.213539446393,270.2427078892786,13.51213539446393,2,11351.213539446393
XRPUSDT,19,9,10,47.368421052631575,1209.2456868653405,63.64450983501792,12.092456868653407,10,11209.24568686534
BTCUSDT,12,9,3,75.0,1197.7037639656778,99.80864699713982,11.977037639656755,3,11197.703763965676
MATICUSDT,14,7,7,50.0,1099.9598104113256,78.56855788652327,10.999598104113248,7,11099.959810411325
AVAXUSDT,12,6,6,50.0,1050.803915159011,87.56699292991759,10.50803915159011,6,11050.803915159011
ADAUSDT,19,9,10,47.368421052631575,1035.1349573488937,54.48078722888914,10.351349573488932,10,11035.134957348893
ARBUSDT,11,5,6,45.45454545454545,945.4824839628901,85.95295308753546,9.454824839628909,6,10945.482483962891
UNIUSDT,6,4,2,66.66666666666666,853.1089693482602,142.18482822471003,8.53108969348261,2,10853.10896934826
DOTUSDT,13,6,7,46.15384615384615,843.836445160091,64.91049578154546,8.4383644516009,7,10843.83644516009
BNBUSDT,20,9,11,45.0,785.9343867547477,39.296719337737386,7.859343867547468,11,10785.934386754747
LTCUSDT,20,9,11,45.0,784.8796238444601,39.243981192223,7.848796238444593,11,10784.87962384446
ATOMUSDT,10,5,5,50.0,780.7204826601971,78.07204826601972,7.807204826601974,5,10780.720482660197
OPUSDT,9,4,5,44.44444444444444,775.2694612562161,86.14105125069068,7.752694612562136,5,10775.269461256214
ETCUSDT,10,5,5,50.0,746.7901650937238,74.67901650937237,7.46790165093722,5,10746.790165093722
ETHUSDT,19,9,10,47.368421052631575,735.5770063722682,38.71457928275096,7.355770063722666,10,10735.577006372267
SUIUSDT,6,3,3,50.0,697.111139601828,116.185189933638,6.971111396018277,3,10697.111139601828
APTUSDT,6,3,3,50.0,696.1424784870835,116.02374641451392,6.961424784870851,3,10696.142478487085
SEIUSDT,7,3,4,42.857142857142854,558.7041555135609,79.81487935908012,5.58704155513562,4,10558.704155513562
SANDUSDT,7,3,4,42.857142857142854,515.4829255944765,73.64041794206807,5.154829255944769,4,10515.482925594477
FILUSDT,3,2,1,66.66666666666666,505.04121513234026,168.34707171078009,5.050412151323399,1,10505.04121513234
NEARUSDT,10,4,6,40.0,458.6233266222563,45.862332662225626,4.5862332662225525,6,10458.623326622255
LINKUSDT,7,3,4,42.857142857142854,439.30809956634016,62.758299938048594,4.393080995663404,4,10439.30809956634
INJUSDT,5,2,3,40.0,414.52863778762514,82.90572755752503,4.1452863778762365,3,10414.528637787624
GRTUSDT,5,2,3,40.0,322.01048830627576,64.40209766125516,3.220104883062759,3,10322.010488306276
AGIXUSDT,2,1,1,50.0,279.6213215593914,139.8106607796957,2.796213215593907,1,10279.62132155939
WLDUSDT,7,2,5,28.57142857142857,269.68033284688016,38.5257618352686,2.6968033284687953,5,10269.68033284688
THETAUSDT,7,2,5,28.57142857142857,185.1276391502982,26.446805592899743,1.8512763915029788,5,10185.127639150298
FETUSDT,7,2,5,28.57142857142857,102.59538144496398,14.656483063566283,1.02595381444964,5,10102.595381444964
MANAUSDT,4,1,3,25.0,78.59739936222167,19.649349840555416,0.7859739936222104,3,10078.597399362221
DOGEUSDT,5,1,4,20.0,-66.6971804039593,-13.33943608079186,-0.6669718040395856,4,9933.302819596041
RENDERUSDT,4,0,4,0.0,-394.0399,-98.509975,-3.940398999999998,4,9605.9601
